Serie,Titre,Tome,ISBN,Genre,Scenariste,Dessinateur,Editeur,Date parution
Invincible,Mars attaque !,7,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2012-06-06
Invincible,Loin de ce monde,8,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2012-12-05
Invincible,Changement de rythme !,9,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2013-04-03
Invincible,Happy days,10,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2013-08-21
Invincible,Toujours invaincu,11,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2013-12-04
Invincible,Le calme avant la tempête,12,,Comics,"Kirkman, Robert",Collectif,Delcourt,2014-04-16
Invincible,Prélude à la guerre,13,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2014-08-20
Invincible,La guerre Viltrumite,14,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2014-12-03
Invincible,Petit malin,15,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2015-05-20
Invincible,Histoires de famille,16,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2015-08-19
Invincible,Nouvelle donne,17,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2016-02-10
Invincible,Hécatombe,18,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2016-04-13
Invincible,Etat de siège,19,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2016-09-14
Invincible,Amis et alliés,20,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2017-01-04
Invincible,Une famille moderne,21,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2017-04-19
Invincible,Reboot ?,22,,Comics,"Kirkman, Robert","Ottley, Ryan",Delcourt,2018-01-03
Iron Man (Retour des héros),Vengeur un jour...,1,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-03-01
Iron Man (Retour des héros),L'appel,2,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-04-01
Iron Man (Retour des héros),L'art du compromis,3,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-05-01
Iron Man (Retour des héros),Enfer au paradis,4,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-06-01
Iron Man (Retour des héros),Dans la fournaise,5,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-07-01
Iron Man (Retour des héros),L'appât,6,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-08-01
Iron Man (Retour des héros),La traque,7,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-09-01
Iron Man (Retour des héros),La revanche du Mandarin (1),8,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-10-01
Iron Man (Retour des héros),La revanche du Mandarin (2),9,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-11-01
Iron Man (Retour des héros),Programme perturbé,10,,Comics,"Busiek, Kurt",Collectif,Panini Comics,1999-12-01
Iron Man (Retour des héros),Butin de guerre,11,,Comics,"Busiek, Kurt",Collectif,Panini Comics,2000-01-01
Iron Man (Retour des héros),Histoire ancienne,12,,Comics,"Busiek, Kurt","Pérez, George",Panini Comics,2000-02-01
Irrécupérable,Sans retour,1,,Comics Super-héros,"Waid, Mark","Krause, Peter",Delcourt,2010-05-19
Irrécupérable,Trahison,2,,Comics Super-héros,"Waid, Mark","Krause, Peter",Delcourt,2011-02-16
Irrécupérable,Secrets,3,,Comics Super-héros,"Waid, Mark","Krause, Peter",Delcourt,2012-03-21
Irrécupérable,Illusion,4,,Comics Super-héros,"Waid, Mark","Krause, Peter",Delcourt,2012-10-24
Irrécupérable,Liberté,5,,Comics Super-héros,"Waid, Mark",Collectif,Delcourt,2013-01-16
Irrécupérable,Rédemption,6,,Comics Super-héros,"Waid, Mark",Collectif,Delcourt,2013-07-03
Irrécupérable,Epilogue,7,,Comics Super-héros,"Waid, Mark","Barreto, Diego",Delcourt,2013-09-04
Ishanti danseuse sacrée,Les Larmes d'Isis,1,2845659016,Aventures Fantastiques,"Crisse, Didier","Crisse, Didier",Soleil Productions,2005-09-28
Jack Sélère,Si tu freines t'es un lâche !,1,2841890007,Humour,Collectif,Batem,Kraken,1995-05-01
Je suis légion,Le faune dansant,1,2731663022,Aventures Historiques,"Nury, Fabien","Cassaday, John",Les Humanoïdes Associés,2004-06-01
Je suis légion,Vlad,2,273161661X,Aventures Historiques,"Nury, Fabien","Cassaday, John",Les Humanoïdes Associés,2006-01-17
Je suis légion,Les trois singes,3,2731616628,Aventures Historiques,"Nury, Fabien","Cassaday, John",Les Humanoïdes Associés,2007-11-07
Jean-Norbert,"Jean-Norbert, Tome 1",1,,Humour,"Retera, Mark","Retera, Mark",Kramiek,2014-08-27
Jla,Justice & Liberté,0,2848570652,Comics,"Dini, Paul","Ross, Luke",Semic,2004-04-28
Jla,Jla Extinction,0,2848571179,Comics,"Kesel, Karl","Immonen, Stuart",Semic,2005-04-01
Jla,"JLA, Tome 1",1,2848570962,Comics,"Waid, Mark","Porter, Howard",Semic,2004-11-01
Jla,"JLA, Tome 2",2,2848571276,Comics,"Waid, Mark","Hitch, Bryan",Semic,2005-04-15
JLA - Justice,"JLA - Justice, Tome 1",1,2845387520,Comics,"Krueger, Jim","Braithwaite, Doug (Dougie)",Panini Comics,2006-07-13
JLA - Justice,"JLA - Justice, Tome 2",2,,Comics,"Krueger, Jim","Braithwaite, Doug (Dougie)",Panini Comics,2007-01-01
JLA - Justice,"JLA - Justice, Tome 3",3,,Comics,"Krueger, Jim","Braithwaite, Doug (Dougie)",Panini Comics,2007-06-05
JLA - Justice,"JLA - Justice, Tome 4",4,2809401888,Comics,"Krueger, Jim","Ross, Alex",Panini Comics,2008-02-10
JLA (DC Anthologie),Nouvel ordre mondial,1,,Comics,"Morrison, Grant","Porter, Howard",Panini Comics,2008-09-01
JLA (DC Anthologie),Mesures extrêmes,3,,Comics,"Morrison, Grant","Porter, Howard",Panini Comics,2011-09-14
Jla (Semic),JLA n°1,1,,Comics,"Morrison, Grant","Porter, Howard",Semic,1998-05-01
Jla (Semic),JLA n°2,2,,Comics,"Morrison, Grant","Porter, Howard",Semic,1998-07-01
Jla (Semic),JLA n°3,3,,Comics,"Morrison, Grant","Porter, Howard",Semic,1998-09-01
Jla (Semic),JLA n°4,4,,Comics,"Morrison, Grant","Porter, Howard",Semic,1998-11-01
Jla (Semic),JLA n°5,5,,Comics,"Waid, Mark","Porter, Howard",Semic,1999-01-01
Jla (Semic),JLA n°6,6,,Comics,"Waid, Mark","Jorgensen, Arnie",Semic,1999-03-01
Jla (Semic),JLA n°7,7,,Comics,"Morrison, Grant","Porter, Howard",Semic,1999-05-01
Jla (Semic),JLA n°8,8,,Comics,"Morrison, Grant","Porter, Howard",Semic,1999-07-01
Jla (Semic),JLA n°9,9,,Comics,"Morrison, Grant","Pajarillo, Mark",Semic,1999-09-01
Jla (Semic),JLA n°10,10,,Comics,"Morrison, Grant","Porter, Howard",Semic,1999-11-01
Jla (Semic),JLA n°11,11,,Comics,"Morrison, Grant","Porter, Howard",Semic,2000-01-01
Jla (Semic),JLA n°12,12,,Comics,"Morrison, Grant","Porter, Howard",Semic,2000-03-01
Jla (Soleil),Terre 2,1,2845650914,Comics,"Morrison, Grant","Quitely, Frank",Soleil Productions,2000-11-01
Jla (Soleil),Ascension,2,2845651430,Comics,"Waid, Mark","Hitch, Bryan",Soleil Productions,2001-05-01
Jla / Avengers,Jla / Avengers n°1,1,,Comics,"Busiek, Kurt","Pérez, George",Semic,2004-04-01
Jla / Avengers,Jla / Avengers n°2,2,,Comics,"Busiek, Kurt","Pérez, George",Semic,2004-05-01
Jla / Avengers,Jla / Avengers n°3,3,,Comics,"Busiek, Kurt","Pérez, George",Semic,2004-07-01
Jla / Avengers,Jla / Avengers n°4,4,,Comics,"Busiek, Kurt","Pérez, George",Semic,2004-09-01
JLA versus Predator,JLA versus Predator,,,Comics Super-héros,"Ostrander, John","Nolan, Graham",Soleil Productions,2012-08-22
Jour J,Les Russes sur la Lune !,1,,Uchronie,"Duval, Fred","Buchet, Philippe",Delcourt,2010-04-07
Judgment Day,Judgment Day n°1,1,,Comics,"Moore, Alan",Collectif,Panini Comics,1998-09-01
Judgment Day,Judgment Day n°2,2,,Comics,"Moore, Alan",Collectif,Panini Comics,1999-06-01
Jupiter's legacy,Lutte de pouvoirs,1,,Comics,"Millar, Mark","Quitely, Frank",Panini Comics,2016-02-10
Justice League (DC Rebirth),Les machines du chaos,1,,Comics Super-héros,"Hitch, Bryan","Daniel, Tony",Urban comics,2017-06-09
Kick Ass - The new girl,"Kick Ass - The new girl, Tome 1",1,,Comics Super-héros,"Millar, Mark","Romita Jr, John",Panini Comics,2018-10-17
Kick Ass - The new girl,"Kick Ass - The new girl, Tome 2",2,,Comics Super-héros,"Niles, Steve","Frusin, Marcelo",Panini Comics,2019-06-12
Kick-Ass,Le premier vrai super-héros,1,2809409994,Comics,"Millar, Mark","Romita Jr, John",Panini Comics,2010-03-17
Kick-Ass,Brume rouge,2,,Comics,"Millar, Mark","Romita Jr, John",Panini Comics,2010-06-09
Kick-Ass 3,Civil war,1,,Comics Super-héros,"Millar, Mark","Romita Jr, John",Panini Comics,2014-05-21
Kick-Ass 3,Le début de la fin,2,,Comics Super-héros,"Millar, Mark","Romita Jr, John",Panini Comics,2014-09-24
Kid Paddle,Full métal casquette,4,2800125942,Jeunesse,Midam,Midam,Dupuis,2003-11-01
Kid Paddle,Alien chantilly,5,2800127821,Jeunesse,Midam,Midam,Dupuis,2003-11-01
Kid Paddle,Rodéo Blork,6,2800129573,Jeunesse,Midam,Midam,Dupuis,2003-11-01
Kidz (Joret),"Kidz, Tome 1",1,,Science-Fiction,"Ducoudray, Aurélien","Joret, Jocelyn",Glénat,2019-01-30
KIN,KIN n°1,1,,Comics,"Frank, Gary","Frank, Gary",Semic,2000-09-01
KIN,KIN n°2,2,,Comics,"Frank, Gary","Frank, Gary",Semic,2000-11-01
KIN,KIN n°3,3,,Comics,"Frank, Gary","Frank, Gary",Semic,2001-01-01
Kingdom Come,Intégrale Kingdom Come,0,2848570784,Comics,"Waid, Mark","Ross, Alex",Semic,2004-05-17
Kingsman,Services secrets,1,,Comics,"Millar, Mark","Gibbons, Dave",Panini Comics,2015-02-11
Kookaburra,Planète Dakoï,1,2877645630,Science-Fiction,"Crisse, Didier","Crisse, Didier",Soleil Productions,1997-02-01
Kookaburra,Secteur WBH3,2,2877646602,Science-Fiction,"Crisse, Didier","Crisse, Didier",Soleil Productions,1997-11-01
Kookaburra,Projet Équinoxe,3,2877648060,Science-Fiction,"Crisse, Didier","Crisse, Didier",Soleil Productions,1998-11-01
Kookaburra,Système Ragnarok,4,2845650442,Science-Fiction,"Crisse, Didier","Mitric, Nicolas",Soleil Productions,2004-08-24
Kookaburra,Retour à Terradoes,5,2849465593,Science-Fiction,"Crisse, Didier","Mitric, Nicolas",Soleil Productions,2006-09-06
Kookaburra,L'héritier des âmes,6,,Science-Fiction,"Mitric, Nicolas","Mitric, Nicolas",Soleil Productions,2008-04-23
Kookaburra,La perle d'or,7,,Science-Fiction,"Mitric, Nicolas","Mitric, Nicolas",Soleil Productions,2010-05-26
Kookaburra K,Big bang baby,1,2849463787,Science-Fiction,"Crisse, Didier","Ramos, Humberto",Soleil Productions,2006-03-22
Kookaburra Universe,Le secret du sniper,1,2845652313,Science-Fiction,"Crisse, Didier","Mitric, Nicolas",Soleil Productions,2002-09-01
Kookaburra Universe,Taman Kha,2,2845654715,Science-Fiction,Ange,"Paty, Christian",Soleil Productions,2003-08-27
Kookaburra Universe,Mano Kha,3,2845657552,Science-Fiction,Ange,"Paty, Christian",Soleil Productions,2004-07-01
Kookaburra Universe,Skullface,4,2845658648,Science-Fiction,"Gaudin, Jean-Charles","Briones, Philippe",Soleil Productions,2004-10-01
Kookaburra Universe,Les larmes de Gosharad,5,284946063X,Science-Fiction,"Tackian, Nicolas","Lullabi, Ludo",Soleil Productions,2005-08-24
Kookaburra Universe,Le serment dakoïd,6,2849464872,Science-Fiction,"Mitric, Nicolas","Péru, Olivier",Soleil Productions,2006-06-20
Kookaburra Universe,Le sourire de Myrha,7,,Science-Fiction,"Runberg, Sylvain","Ocaña, Eduardo",Soleil Productions,2007-04-25
Kookaburra Universe,Le dernier vol de l'enclume,8,,Science-Fiction,"Sala, Jean-Luc","Afif, Khaled",Soleil Productions,2007-11-21
Kookaburra Universe,Le lamentin noir,9,,Science-Fiction,"Mitric, Nicolas","Louis, Stéphane",Soleil Productions,2008-05-28
Kookaburra Universe,Les prêtresses d'Isis,10,,Science-Fiction,"Mariolle, Mathieu",Aurore blackcat,Soleil Productions,2008-11-13
Kookaburra Universe,L'ile des amantes religieuses,11,,Science-Fiction,"Paille, Olivier","Campoy, Frédéric",Soleil Productions,2009-05-24
Kookaburra Universe,L'honneur du sniper,12,,Science-Fiction,"Mitric, Nicolas","Alliel, Christophe",Soleil Productions,2010-02-10
Kookaburra Universe,L'appel des étoiles,13,,Science-Fiction,"Louis, Stéphane","Boudoiron, Arnaud",Soleil Productions,2010-04-28
Kookaburra Universe,Lames soeurs,14,,Science-Fiction,"Peno-Mazzarino, Laurent","Guinebaud, Sylvain",Soleil Productions,2010-09-22
Kookaburra Universe,Casus belli (Terra incognita),15,,Science-Fiction,"Guérin, Rémi",Damour,Soleil Productions,2012-01-25
Kookaburra Universe,Casus belli - Invasion,16,,Science-Fiction,"Guérin, Rémi",Damour,Soleil Productions,2012-05-16
L'ancêtre programmé,Le Temps de l'éveil,1,2731615222,Science-Fiction,"Ploy, Anne","Malnati, Loïc",Les Humanoïdes Associés,1999-09-01
L'ancêtre programmé,Le Temps de la conscience,2,2731614242,Science-Fiction,"Ploy, Anne","Malnati, Loïc",Les Humanoïdes Associés,2000-10-01
L'ancêtre programmé,Le Temps du jugement,3,2731614706,Science-Fiction,"Ploy, Anne","Malnati, Loïc",Les Humanoïdes Associés,2002-01-01
L'ancêtre programmé,Le Temps du savoir,4,2731615427,Science-Fiction,"Ploy, Anne","Di Bernardo, Giuseppe",Les Humanoïdes Associés,2004-01-01
L'ancêtre programmé,La révélation,5,2731617241,Science-Fiction,"Ploy, Anne","Di Bernardo, Giuseppe",Les Humanoïdes Associés,2006-02-01
L'Arabe du futur,Une jeunesse au Moyen Orient (1978-1984),1,,"Autobiographie, Autofiction","Sattouf, Riad","Sattouf, Riad",Allary éditions,2014-05-07
L'Effaceur,"Devise n°1: Clients et victimes, même satisfaction",1,2749300495,Humour,"Richez, Hervé","Jenfèvre, Henri",Vents d'Ouest,2003-01-01
L'Effaceur,Devise n°2: mieux vaut tenir que mourir...,2,2749300908,Humour,"Richez, Hervé","Jenfèvre, Henri",Glénat,2003-06-01
L'Effaceur,"Devise n°3: A trop monter,on se fait descendre!",3,2749301424,Humour,"Richez, Hervé","Jenfèvre, Henri",Glénat,2004-03-01
L'Effaceur,"Devise n°4: Ton prochain, tu ne tueras point. Le suivant, par contre...",4,2749302382,Humour,"Richez, Hervé","Jenfèvre, Henri",Vents d'Ouest,2005-09-15
L'Effaceur,"Devise n°5: Qui hait, tue !...",5,2749304105,Humour,"Richez, Hervé","Jenfèvre, Henri",Vents d'Ouest,2008-09-24
L'épée de cristal,Le parfum des Grinches,1,2749301173,Héroic - Fantasy,"Goupil, Jacky","Crisse, Didier",Vents d'Ouest,2004-05-01
L'étoffe des zéros,L'étoffe des zéros,1,2858151547,Humour,"Héran, Jean-Marc","Héran, Jean-Marc",Audie,1992-04-12
L'homme qui n'aimait pas les armes à feu,Chili con carnage,1,,Western,"Lupano, Wilfrid","Salomone, Paul",Delcourt,2011-04-20
L'homme qui n'aimait pas les armes à feu,Sur la piste de Madison,2,,Western,"Lupano, Wilfrid","Salomone, Paul",Delcourt,2013-01-30
L'homme qui n'aimait pas les armes à feu,Le mystère de la femme araignée,3,,Western,"Lupano, Wilfrid","Salomone, Paul",Delcourt,2014-05-21
L'homme qui n'aimait pas les armes à feu,La loi du plus fort,4,,Western,"Lupano, Wilfrid","Salomone, Paul",Delcourt,2017-06-21
La boîte à musique,Bienvenue à Pandorient,1,,Aventures Fantastiques,Carbone,Gijé,Dupuis,2018-01-26
La boîte à musique,Le secret de Cyrprien,2,,Aventures Fantastiques,Carbone,Gijé,Dupuis,2018-11-02
La boîte à musique,A la recherche des origines,3,,Aventures Fantastiques,Carbone,Gijé,Dupuis,2019-10-02
La guerre des Sambre,"Hugo & Iris, Chapitre 1 - Printemps 1830",1,,Drame,Yslaire,"Mézil, Vincent",Glénat - Futuropolis,2007-05-23
La guerre des Sambre,"Hugo & Iris, Chapitre 2 - Automne 1830",2,2754801081,Drame,Yslaire,"Bastide, Jean",Glénat - Futuropolis,2008-09-17
La guerre du retour contre attaque,Le retour de la guerre du retour contre attaque,2,,Parodie,"Vivien, Thierry","Vivien, Thierry",Jungle,2013-05-15
La ligue des gentlemen extraordinaires,Coffret - Les archives secrètes + le film en DVD,,2914409435,Comics,"Moore, Alan","O'Neill, Kevin",Éditions USA,2004-11-01
La loi du chaos,Elfes Noirs,1,284565202X,Héroic - Fantasy,"Falba, Bruno","Tasiaux, François",Soleil Productions,2002-10-01
La mort de Superman,La mort de Superman,,,Comics,Collectif,Collectif,Panini Comics,2008-10-01
La nef des fous,Eauxfolles,1,2840550059,Aventures Humoristiques,Turf,Turf,Delcourt,1993-02-01
La nef des fous,Pluvior 627,2,2840550253,Aventures Humoristiques,Turf,Turf,Delcourt,1994-09-01
La nef des fous,Turbulences,3,2840551292,Aventures Humoristiques,Turf,Turf,Delcourt,1997-02-01
La nef des fous,Au turf,4,2840554569,Aventures Humoristiques,Turf,Turf,Delcourt,2001-02-01
La nef des fous,Puzzle,5,2840558386,Aventures Humoristiques,Turf,Turf,Delcourt,2005-04-27
La quête de l'oiseau du temps,La conque de Ramor,1,220502406X,Héroic - Fantasy,"Le Tendre, Serge","Loisel, Régis",Dargaud,1983-01-01
La quête de l'oiseau du temps,Le temple de l'oubli,2,2205025767,Héroic - Fantasy,"Le Tendre, Serge","Loisel, Régis",Dargaud,1984-01-01
La quête de l'oiseau du temps,Le Rige,3,2205029525,Héroic - Fantasy,"Le Tendre, Serge","Loisel, Régis",Dargaud,1985-11-01
La quête de l'oiseau du temps,L'oeuf des ténèbres,4,220503460X,Héroic - Fantasy,"Le Tendre, Serge","Loisel, Régis",Dargaud,1987-08-01
La Rose écarlate,Je savais que je te rencontrerais,1,2847897976,Aventure,"Lyfoung, Patricia","Lyfoung, Patricia",Delcourt,2005-07-01
La Rose écarlate,Je veux que tu m'aimes !,2,2756002313,Aventure,"Lyfoung, Patricia","Lyfoung, Patricia",Delcourt,2006-06-07
La Rose écarlate,Je crois que je t'aime,6,,Aventure,"Lyfoung, Patricia","Lyfoung, Patricia",Delcourt,2010-04-21
La Rose écarlate,Tu seras toujours à moi,7,,Aventure,"Lyfoung, Patricia","Lyfoung, Patricia",Delcourt,2011-06-01
La Rose écarlate,Où es-tu ?,8,,Aventure,"Lyfoung, Patricia","Lyfoung, Patricia",Delcourt,2012-10-17
La Rose écarlate,Peux-tu comprendre cela ?,11,,Aventure,"Lyfoung, Patricia","Lyfoung, Patricia",Delcourt,2015-10-07
La Rose écarlate - Missions,Le spectre de la Bastille,1,,Jeunesse,"Lyfoung, Patricia",Jenny,Delcourt,2013-11-20
La Rose écarlate - Missions,Le spectre de la Bastille 2/2,2,,Jeunesse,"Lyfoung, Patricia",Jenny,Delcourt,2014-05-21
La terre des vampires,Exode,1,,Fantastique-Etrange,"Muñoz, David","Garcia, Manuel",Les Humanoïdes Associés,2013-06-12
La trilogie Nikopol,Froid équateur,3,2731609834,Science-Fiction,"Bilal, Enki","Bilal, Enki",Les Humanoïdes Associés,1992-09-01
La vie de Norman,"La vie de Norman, Tome 1",1,,Aventures Fantastiques,"Silas, Stan","Silas, Stan",Makaka,2011-02-10
Lanfeust de Troy,L'ivoire du Magohamoth,1,2877642577,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,1994-09-01
Lanfeust de Troy,Thanos l'incongru,2,2877673069,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,1996-10-01
Lanfeust de Troy,Castel Or-Azur,3,2877643948,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,1996-10-01
Lanfeust de Troy,Le paladin d'Eckmül,4,2877645665,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,1996-11-01
Lanfeust de Troy,Le frisson de l'Haruspice,5,2877646467,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,1997-10-01
Lanfeust de Troy,Cixi impératrice,6,2877647951,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,1998-10-01
Lanfeust de Troy,Les pétaures se cachent pour mourir,7,2877649237,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,1999-11-01
Lanfeust de Troy,La bête fabuleuse,8,2845651104,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2001-01-01
Lanfeust des étoiles,"Un, deux... Troy",1,2845652216,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2001-12-01
Lanfeust des étoiles,Les tours de Meirrion,2,2845654057,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2003-03-01
Lanfeust des étoiles,Les sables d'Abraxar,3,2845656831,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2004-01-21
Lanfeust des étoiles,Les buveurs de mondes,4,2845659008,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2004-12-07
Lanfeust des étoiles,La chevauchée des bactéries,5,2849463183,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2005-12-07
Lanfeust des étoiles,Le râle du flibustier,6,2849466417,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2006-12-01
Lanfeust des étoiles,Le secret des Dolphantes,7,2302000315,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2007-12-12
Lanfeust des étoiles,Le sang des comètes,8,9782302003,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2008-11-26
Lanfeust odyssey,L'énigme Or-Azur,1,,Héroic - Fantasy,"Arleston, Christophe","Tarquin, Didier",Soleil Productions,2009-11-12
Le chant des Stryges,Ombres,1,2840551721,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,1997-10-01
Le chant des Stryges,Pièges,2,2840552280,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,1998-11-01
Le chant des Stryges,Emprises,3,2840553023,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,1999-08-01
Le chant des Stryges,Expériences,4,2840554496,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2000-06-01
Le chant des Stryges,Vestiges - TT,5,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",BD Must,2001-01-01
Le chant des Stryges,Vestiges,5,2840556472,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2001-05-01
Le chant des Stryges,Existences,6,2840557363,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2002-04-01
Le chant des Stryges,Rencontres,7,284055951X,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2003-05-01
Le chant des Stryges,Défis,8,2847894608,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2004-06-16
Le chant des Stryges,Révélations,9,2847898328,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2005-08-24
Le chant des Stryges,Manipulations,10,2756002682,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2006-09-13
Le chant des Stryges,Cellules,11,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2007-09-05
Le chant des Stryges,Chutes,12,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2008-12-03
Le chant des Stryges,Pouvoirs,13,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2010-09-22
Le chant des Stryges,Enlèvements,14,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2011-11-30
Le chant des Stryges,Hybrides,15,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2013-04-17
Le chant des Stryges,Executions,16,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2014-12-03
Le chant des Stryges,Réalités,17,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2016-03-23
Le chant des Stryges,Mythes,18,,Aventures Fantastiques,"Corbeyran, Éric","Guérineau, Richard",Delcourt,2018-06-06
Le chat du rabbin,La Bar-Mitsva,1,2205052071,Fantastique-Etrange,"Sfar, Joann","Sfar, Joann",Dargaud,2002-01-01
Le château des animaux,Miss Bengalore,1,,Aventures Fantastiques,"Dorison, Xavier","Delep, Félix",Casterman,2019-09-18
Le château des étoiles,1869 : la conquête de l'espace (1/2),1,,Aventure,"Alice, Alex","Alice, Alex",Rue de Sèvres,2014-09-24
Le château des étoiles,1869: la conquête de l'espace,2,,Aventure,"Alice, Alex","Alice, Alex",Rue de Sèvres,2015-09-16
Le château des étoiles,Les chevaliers de Mars,3,,Aventure,"Alice, Alex","Alice, Alex",Rue de Sèvres,2017-04-26
Le château des étoiles,Les prisonniers de Mars,4,,Aventure,"Alice, Alex","Alice, Alex",Rue de Sèvres,2018-09-19
Le château des étoiles,De Mars à Paris,5,,Aventure,"Alice, Alex","Alice, Alex",Rue de Sèvres,2020-06-10
Le combat ordinaire,Le combat ordinaire,1,2205054252,Société,"Larcenet, Manu","Larcenet, Manu",Dargaud,2003-03-01
Le combat ordinaire,Ce qui est précieux,3,220505791X,Société,"Larcenet, Manu","Larcenet, Manu",Dargaud,2006-03-17
Le convoyeur,Nymphe,1,,Science-Fiction,"Roulot, Tristan","Armand, Dimitri",Le Lombard,2020-06-26
Le dixième peuple,Aha,1,,Aventures Fantastiques,"Despujol, Emmanuel","Despujol, Emmanuel",Paquet,2014-09-10
Le donjon de Naheulbeuk,Coffret Le donjon de Naheulbeuk première saison,1,2913714846,Humour,"Poc Lang, John","Poinsot, Marion",Clair de Lune,2006-05-18
Le donjon de Naheulbeuk,Deuxième saison - Partie 1,3,2913714927,Humour,"Poc Lang, John","Poinsot, Marion",Clair de Lune,2006-11-19
Le donjon de Naheulbeuk,Deuxième saison - Partie 2,4,2353250335,Humour,"Poc Lang, John","Poinsot, Marion",Clair de Lune,2007-11-15
Le guide du Zizi sexuel,Le guide du Zizi sexuel,0,2723428028,Humour,Zep,Zep,Glénat,2001-09-01
Le legs de l'alchimiste,Joachim Overbeck,1,2723435652,Fantastique-Etrange,Hubert,"Tanquerelle, Hervé",Glénat,2002-01-01
Le maître de jeu,Testament,1,2840554143,Aventures Fantastiques,"Corbeyran, Éric","Charlet, Grégory",Delcourt,2000-03-01
Le maître de jeu,Prémonition,2,2840555514,Aventures Fantastiques,"Corbeyran, Éric","Charlet, Grégory",Delcourt,2001-02-01
Le maître de jeu,Matrice,3,2840557355,Aventures Fantastiques,"Corbeyran, Éric","Charlet, Grégory",Delcourt,2002-04-01
Le maître de jeu,Descendance,4,284789201X,Aventures Fantastiques,"Corbeyran, Éric","Charlet, Grégory",Delcourt,2004-11-17
